,Date,Tournament Name,1,2,3,4,Total,Final POS,TOT Strokes,TOT Rounds,Score AVG,Official Money
208,08/25/16,Canadian Pacific Women's Open,71 (-1),72 (E),74 (+2),72 (E),289 (+1),70T,289,4,72.25,"$4,608"
209,07/28/16,RICOH Women's British Open,76 (+4),73 (+1),-,-,149 (+5),CUT,149,2,74.5,$0.00
210,07/14/16,Marathon Classic presented by Owens Corning and O-I,69 (-2),77 (+6),-,-,146 (+4),CUT,146,2,73.0,$0.00
211,07/07/16,U.S. Women's Open,75 (+3),74 (+2),-,-,149 (+5),CUT,149,2,74.5,$0.00
212,06/24/16,Walmart NW Arkansas Championship presented by P&G,71 (E),71 (E),-,-,142 (E),CUT,142,2,71.0,$0.00
213,06/16/16,Meijer LPGA Classic for Simply Give,71 (E),70 (-1),67 (-4),75 (+4),283 (-1),56T,283,4,70.75,"$5,228"
214,06/09/16,KPMG Women's PGA Championship,78 (+7),80 (+9),-,-,158 (+16),CUT,158,2,79.0,$0.00
215,05/26/16,LPGA Volvik Championship,76 (+4),76 (+4),-,-,152 (+8),CUT,152,2,76.0,$0.00
216,05/19/16,Kingsmill Championship Presented by JTBC,72 (+1),78 (+7),-,-,150 (+8),CUT,150,2,75.0,$0.00
217,05/05/16,Yokohama Tire LPGA Classic,71 (-1),72 (E),70 (-2),73 (+1),286 (-2),42T,286,4,71.5,"$6,062"
218,04/28/16,Volunteers of America Texas Shootout,76 (+5),72 (+1),-,-,148 (+6),CUT,148,2,74.0,$0.00
219,04/21/16,Swinging Skirts LPGA Classic Presented by CTBC,73 (+1),73 (+1),75 (+3),-,221 (+5),WDC,221,3,73.667,$0.00
220,04/13/16,LOTTE Championship Presented by HERSHEY,80 (+8),73 (+1),-,-,153 (+9),CUT,153,2,76.5,$0.00
221,03/31/16,ANA Inspiration,70 (-2),69 (-3),70 (-2),77 (+5),286 (-2),36T,286,4,71.5,"$13,828"
222,03/24/16,Kia Classic,70 (-2),76 (+4),71 (-1),73 (+1),290 (+2),60T,290,4,72.5,"$4,008"
223,03/17/16,JTBC Founders Cup,77 (+5),74 (+2),-,-,151 (+7),CUT,151,2,75.5,$0.00
224,03/03/16,HSBC Women's Champions,75 (+3),72 (E),75 (+3),75 (+3),297 (+9),57T,297,4,74.25,"$4,299"
225,02/25/16,Honda LPGA Thailand,74 (+2),74 (+2),78 (+6),73 (+1),299 (+11),65T,299,4,74.75,"$3,718"
226,02/03/16,COATES Golf Championship Presented by R+L CARRIERS,70 (-2),71 (-1),72 (E),73 (+1),286 (-2),25T,286,4,71.5,"$13,624"
227,01/28/16,Pure Silk-Bahamas LPGA Classic,76 (+3),73 (E),-,-,149 (+3),CUT,149,2,74.5,$0.00
228,11/16/17,CME Group Tour Championship,72 (E),68 (-4),66 (-6),70 (-2),276 (-12),6T,276,4,69.0,"$73,411"
229,11/08/17,Blue Bay LPGA,73 (+1),76 (+4),68 (-4),71 (-1),288 (E),16T,288,4,72.0,"$28,147"
230,11/03/17,TOTO Japan Classic,76 (+4),65 (-7),70 (-2),-,211 (-5),46T,211,3,70.333,"$5,622"
231,10/26/17,Sime Darby LPGA Malaysia,74 (+3),70 (-1),74 (+3),73 (+2),291 (+7),59T,291,4,72.75,"$4,593"
232,10/19/17,Swinging Skirts LPGA Taiwan Championship Presented by CTBC,76 (+4),72 (E),77 (+5),75 (+3),300 (+12),67T,300,4,75.0,"$4,705"
233,10/12/17,LPGA KEB HanaBank Championship,73 (+1),70 (-2),68 (-4),72 (E),283 (-5),23T,283,4,70.75,"$19,867"
234,08/24/17,Canadian Pacific Women's Open,71 (E),68 (-3),70 (-1),-,209 (-4),WDC,209,3,69.667,$0.00
235,08/03/17,RICOH Women's British Open,64 (-8),76 (+4),69 (-3),66 (-6),275 (-13),3T,275,4,68.75,"$175,509"
236,07/27/17,Aberdeen Asset Management Ladies Scottish Open,72 (E),73 (+1),73 (+1),72 (E),290 (+2),19,290,4,72.5,"$22,306"
237,07/13/17,U.S. Women's Open conducted by the USGA,73 (+1),-,-,-,73 (+1),WDC,73,1,73.0,$0.00
238,06/29/17,KPMG Women's PGA Championship,68 (-3),70 (-1),70 (-1),73 (+2),281 (-3),20T,281,4,70.25,"$37,779"
239,06/23/17,Walmart NW Arkansas Championship Presented by P&G,68 (-3),68 (-3),64 (-7),-,200 (-13),4T,200,3,66.667,"$93,312"
240,06/15/17,Meijer LPGA Classic for Simply Give,68 (-3),68 (-3),64 (-7),65 (-6),265 (-19),2T,265,4,66.25,"$160,548"
241,06/02/17,ShopRite LPGA Classic Presented by Acer,71 (E),70 (-1),65 (-6),-,206 (-7),3T,206,3,68.667,"$72,476"
242,05/25/17,LPGA Volvik Championship,75 (+3),71 (-1),-,-,146 (+2),CUT,146,2,73.0,$0.00
243,05/04/17,Citibanamex Lorena Ochoa Match Play presented by Aeromexico and Delta,-,-,-,-,0 (E),4,0,0,0.0,"$75,000"
244,04/27/17,Volunteers of America Texas Shootout Presented by JTBC,67 (-4),73 (+2),71 (E),76 (+5),287 (+3),13T,287,4,71.75,"$19,444"
245,04/12/17,LOTTE Championship Presented by HERSHEY,71 (-1),72 (E),71 (-1),68 (-4),282 (-6),39T,282,4,70.5,"$10,278"
246,03/30/17,ANA Inspiration,68 (-4),69 (-3),71 (-1),69 (-3),277 (-11),6,277,4,69.25,"$92,608"
247,03/23/17,Kia Classic,72 (E),70 (-2),67 (-5),72 (E),281 (-7),21T,281,4,70.25,"$17,214"
248,03/16/17,Bank of Hope Founders Cup,65 (-7),67 (-5),72 (E),70 (-2),274 (-14),35T,274,4,68.5,"$8,751"
249,03/02/17,HSBC Women's Champions,66 (-6),69 (-3),67 (-5),72 (E),274 (-14),4T,274,4,68.5,$0.00
250,02/16/17,ISPS Handa Women's Australian Open,70 (-3),71 (-2),76 (+3),75 (+2),292 (E),30T,292,4,73.0,"$9,005"
251,01/26/17,Pure Silk Bahamas LPGA Classic,73 (E),74 (+1),-,-,147 (+1),CUT,147,2,73.5,$0.00
252,10/11/18,LPGA KEB Hana Bank Championship,76 (+4),77 (+5),70 (-2),73 (+1),296 (+8),66,296,4,74.0,"$4,507"
253,08/02/18,Ricoh Women's British Open,-,-,-,-,0 (E),WD,0,0,0.0,$0.00
254,07/26/18,Aberdeen Standard Investments Ladies Scottish Open,75 (+4),72 (+1),-,-,147 (+5),CUT,147,2,73.5,$0.00
255,06/28/18,KPMG Women's PGA Championship,71 (-1),74 (+2),72 (E),71 (-1),288 (E),28T,288,4,72.0,"$30,143"
256,06/22/18,Walmart NW Arkansas Championship presented by P&G,68 (-3),70 (-1),72 (+1),-,210 (-3),61T,210,3,70.0,"$4,747"
257,06/14/18,Meijer LPGA Classic for Simply Give,69 (-3),67 (-5),69 (-3),69 (-3),274 (-14),13T,274,4,68.5,"$27,846"
258,05/31/18,U.S. Women's Open,69 (-3),72 (E),76 (+4),71 (-1),288 (E),10T,288,4,72.0,"$104,505"
259,05/17/18,Kingsmill Championship presented by GEICO,70 (-1),70 (-1),69 (-2),-,209 (-4),36T,209,3,69.667,"$7,261"
260,04/26/18,LPGA MEDIHEAL Championship,74 (+2),72 (E),69 (-3),71 (-1),286 (-2),23T,286,4,71.5,"$14,398"
261,04/19/18,HUGEL-JTBC LA Open,73 (+2),70 (-1),71 (E),77 (+6),291 (+7),55T,291,4,72.75,"$4,192"
262,04/11/18,LOTTE Championship presented by Hershey,72 (E),73 (+1),69 (-3),71 (-1),285 (-3),11T,285,4,71.25,"$33,309"
263,03/29/18,ANA Inspiration,75 (+3),67 (-5),72 (E),69 (-3),283 (-5),30T,283,4,70.75,"$20,176"
264,03/22/18,Kia Classic,71 (-1),72 (E),68 (-4),69 (-3),280 (-8),22T,280,4,70.0,"$17,994"
265,03/15/18,Bank of Hope Founders Cup,70 (-2),68 (-4),71 (-1),72 (E),281 (-7),32T,281,4,70.25,"$9,764"
266,03/01/18,HSBC Women's World Championship,67 (-5),73 (+1),66 (-6),65 (-7),271 (-17),1,271,4,67.75,"$225,000"
267,02/22/18,Honda LPGA Thailand,68 (-4),67 (-5),69 (-3),69 (-3),273 (-15),11,273,4,68.25,"$30,644"
268,01/25/18,Pure Silk Bahamas LPGA Classic,73 (E),69 (-4),73 (E),-,215 (-4),11T,215,3,71.667,"$21,836"
269,06/20/19,KPMG Women's PGA Championship,84 (+12),82 (+10),-,-,166 (+22),CUT,166,2,83.0,$0.00
270,04/17/19,LOTTE Championship,77 (+5),77 (+5),-,-,154 (+10),CUT,154,2,77.0,$0.00
271,04/04/19,ANA Inspiration,74 (+2),77 (+5),-,-,151 (+7),CUT,151,2,75.5,$0.00
272,02/28/19,HSBC Women's World Championship,-,-,-,-,0 (E),WD,0,0,0.0,$0.00
273,02/21/19,Honda LPGA Thailand,68 (-4),72 (E),68 (-4),74 (+2),282 (-6),23T,282,4,70.5,"$15,377"
274,06/24/21,KPMG Women's PGA Championship,77 (+5),69 (-3),72 (E),72 (E),290 (+2),46T,290,4,72.5,"$17,116"
275,06/10/21,LPGA MEDIHEAL Championship,73 (+1),75 (+3),69 (-3),71 (-1),288 (E),40T,288,4,72.0,"$7,058"
276,06/03/21,U.S. Women's Open,74 (+3),80 (+9),-,-,154 (+12),CUT,154,2,77.0,$0.00
277,04/21/21,HUGEL-AIR PREMIA LA Open,70 (-1),77 (+6),-,-,147 (+5),CUT,147,2,73.5,$0.00
278,04/01/21,ANA Inspiration,70 (-2),79 (+7),-,-,149 (+5),CUT,149,2,74.5,$0.00
279,03/25/21,Kia Classic,81 (+9),74 (+2),-,-,155 (+11),CUT,155,2,77.5,$0.00
280,06/02/22,U.S. Women's Open presented by ProMedica,73 (+2),74 (+3),-,-,147 (+5),CUT,147,2,73.5,$0.00
281,01/20/22,Hilton Grand Vacations Tournament of Champions,71 (-1),78 (+6),78 (+6),81 (+9),308 (+20),28T,308,4,77.0,$0.00
